objective_1,objective_2,objective_3,objective_4
-45.6432367960612,17.523581141295534,-1.0156496167182922,-2.8991003930568695
-48.12133026123047,30.128074817359447,0.0,-28.120615164438885
-40.128411610921226,61.59640065565085,-14.479387938976288,-10.615511457125343
-40.93354415893555,26.32652046089061,-2.8472989400227866,-37.65340728561083
-24.53908061981201,-158.30289329836765,-35.02491063872973,0.0
-34.970542907714844,80.3381310980767,-23.82014008363088,-11.52933688958486
-18.75326633453369,-118.66795861105976,-42.34683030098677,0.0
-15.843672434488932,-163.952699387252,-49.405796279509865,0.0
-42.43147277832031,-36.748093870157994,0.0,-33.49000681440035
-13.10809818903605,-158.40194229160747,-49.59339341272911,0.0
-48.344139099121094,52.901161122485064,-1.079377551873525,-10.87242599328359
-26.357078552246097,-96.39916759547002,-29.330689668655396,0.0
-42.70136006673177,6.248948804568499,0.0,-30.504366497198745
-42.01513163248698,40.93710835867872,-5.405547559261322,-34.71411022543907
-43.058417002360024,68.5147832534276,-8.70340367158254,-31.413194954395298
-35.09858004252116,50.46295487585788,-16.604601100087166,-14.672117238243422
-46.465919494628906,22.091082368666928,0.0,-6.8061928153038025
-21.131413459777832,-61.43682548752986,-41.09721818566322,0.0
-35.55294672648112,62.56995526107494,-16.599217986067135,-28.169751783212025
-55.02596664428711,83.94780528824776,-0.8661631345748901,-31.456518828868862
-37.49929618835449,45.53561672894284,-13.474861681461334,-6.320857127507527
-22.350991249084473,-161.57672908964255,-39.577899838487305,0.0
-34.9028123219808,45.42278635626038,-25.507494260867436,-4.237875213225682
-35.48547871907552,76.8111901304995,-21.340989351272583,-31.0607953419288
-22.848324457804363,-72.69612868619151,-36.95140488445759,0.0
-51.30248006184896,64.16148460132536,0.0,-6.467579672733943
-32.332539876302086,33.73468669317663,-28.978455523649853,-6.153318911790848
-36.01564407348633,82.90874499098088,-22.232916921377186,-31.64412896335125
-40.42856820424398,73.03805296268547,-14.25104926029841,-33.99159902830919
-31.02056058247884,52.44393605948426,-23.23240752518177,-7.191224118073781
-44.47478485107422,14.26979980734177,0.0,-26.39851673444112
-44.6853141784668,30.475458287323516,-7.568799863258998,-8.330864012241364
-42.94526799519857,56.94411337713245,-11.490466182430586,-32.48973756035169
-43.019448598225914,-27.000275951965403,0.0,-9.184075365463892
-46.89004770914713,53.14621306909248,-15.184272478024164,-3.778632839520773
-45.984612782796226,41.854079249179144,-8.962834070126215,-7.099016447861989
-39.140712102254234,58.69734092750392,-20.65155483782291,-6.021419445673625
-49.491207122802734,73.83593767974526,-6.075605879227321,-28.569658160209656
-51.87308883666992,8.952310874670124,0.0,-6.056619654099147
-37.96374766031901,50.412435805347435,-18.3828630844752,-4.401852508385976
-40.623467763264976,52.25273233527938,-11.58087650934855,-5.367159565289815
-43.08697891235352,54.456115131266415,-11.419763406117758,-4.5104305545489
-45.74998474121094,20.32393765263259,0.0,-21.443956196308136
-32.539483388264976,-4.016146435576957,-28.74761053919792,-4.929750710725784
-30.896421432495117,-22.796362828308094,-24.373187571763992,0.0
-40.9721794128418,63.30912814764694,-20.296616554260257,-27.457441250483196
-30.140204111735027,39.93718330562115,-29.447127759456635,0.0
-46.371840159098305,42.438072050611176,-16.581374406814575,-3.218388855457306
-46.452047983805336,61.1941052544862,-2.9080996811389923,-31.62249594926834
-44.12335332234701,-13.083670129999518,0.0,-17.558598786592484
-38.22378158569336,-24.759607357101533,0.0,-35.5000753502051
-42.0599733988444,41.47968102735467,-11.504153768221537,-5.787124534447988
-33.62091636657715,-51.12857678811997,-19.64157537619273,0.0
-32.236620585123696,26.142172498318057,-25.670786370833714,-5.4599756101767225
-39.60345045725504,49.85230993751126,-16.10194695989291,-8.18290742735068
-47.50847498575846,68.77524255619694,-7.050358841816585,-28.901797384023663
-46.18866984049479,69.0767979445712,-13.017126391331354,-7.103769441445668
-33.87817637125651,26.846444563008845,-18.389024689793587,-10.829891522725424
-48.93017450968424,47.98165748330454,0.0,-27.751424650351208
-46.43174616495768,77.42523488829222,-18.032011340061825,-6.671781261761983
-46.418312072753906,23.693321771298844,0.0,-28.844705988963444
-37.539798736572266,71.85272149889109,-23.2119018137455,-10.25112689534823
0.0,88.37409421106314,-30.580181062032352,-47.07003950679064
-42.46045049031576,-1.4978146627545357,0.0,-32.258094400167465
-43.16536331176758,12.12614782601789,0.0,-32.573481480280556
-30.24356524149577,73.36461131398876,-29.250601346294086,-9.515040909250578
-27.72880204518636,74.8156173856308,-26.44645881652832,-36.32205279668173
-32.0363966623942,40.62581048913611,-15.311138833562532,-36.929559071858726
